batch_id,wallet_address,llm_verdict,llm_confidence,recommended_action,llm_reasoning,reviewed_at_iso,llm_model,base_url
wallet-review-1778596292693-c1-b1,2NuAgVk3hcb7s4YvP4GjV5fD8eDvZQv5wuN6ZC8igRfV,genuine_smart_trader,75,keep,"High buy volume concentrated in <100K mcap tokens with positive realized PnL and active trading stats, but local sightings are holder-only making recent activity unclear.",2026-05-12T14:31:42.838Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778596292693-c1-b1,2ji39D4iDuDR1m7rpJcS5ci86PLgBQkWPgwya8YQvY4h,genuine_smart_trader,80,keep,"Strong win rate, positive realized PnL, and preferred mcap <100K with recent sell activity, but local sightings are sparse and mostly holder signals.",2026-05-12T14:31:42.838Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778596292693-c1-b1,2tMtxBCdF7NWZxVdmBU2DFYBapEAruJVR7KWmZYSkroi,genuine_smart_trader,70,watch,"High win rate and preferred mcap <100K with positive PnL, but local sightings are entirely holder signals so recent trading behavior is not captured.",2026-05-12T14:31:42.838Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778596292693-c1-b1,2xTAbVhrFdHybZnxjkwfkQHLvkRKMfggL641mFKj8xWD,inflated_or_wash,65,demote,"Low win rate, negative local PnL, and profile flags indicate negative_pnl; likely noisy or underperforming despite positive aggregate PnL.",2026-05-12T14:31:42.838Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778596292693-c1-b1,43QmFc2QPPGyMrSNuPnhvfs8BFW1XVZYFdbwURtWoo9x,genuine_smart_trader,85,keep,"Highest win rate among candidates, positive PnL, preferred mcap <100K, and owner-labeled as profitable, though local sightings are holder-only.",2026-05-12T14:31:42.838Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778596292693-c1-b2,55ZQuSoWHxHkCxzZvU4QP6FyNAcc6y62d3FKiEghPzAH,genuine_smart_trader,85,promote,"OKX analytics show strong profitability (PnL $4,785) and high win rate (68.66%), with 174 buys in <100K mcap range matching target strategy; harvester sightings are holder-only due to data limitations.",2026-05-12T14:31:53.714Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778596292693-c1-b2,69z4qTgQ5DBRTJvnQzx2h8jZhNsv5UgADotEwwKUm2JS,inflated_or_wash,90,remove,"KOL-like wallet with negative PnL (-$8,066) and low win rate (33.33%); manual label confirms noisy KOL with no stored profitable trader actions.",2026-05-12T14:31:53.714Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778596292693-c1-b2,6Dt9J7TXM3eqyQBAZMbGJCV6VsP13WVStwPJnLPFtw2Y,genuine_smart_trader,75,keep,"OKX data shows profitability (PnL $508.68) and decent win rate (59.55%), with preferred mcap 100K-1M aligning with target strategy; harvester context sparse but analytics indicate active trading.",2026-05-12T14:31:53.714Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778596292693-c1-b2,6EDaVsS6enYgJ81tmhEkiKFcb4HuzPUVFZeom6PHUqN3,copy_trader,70,watch,"KOL-like wallet with mixed profitability (OKX PnL $4,851 but harvester PnL -$69.60); likely follows KOL signals rather than independent smart trading, given high follower count and noisy flow.",2026-05-12T14:31:53.714Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778596292693-c1-b2,719sfKUjiMThumTt2u39VMGn612BZyCcwbM5Pe8SqFYz,inflated_or_wash,85,remove,"KOL-like wallet with negative PnL (-$4,986.51) and low win rate (30.72%); manual label explicitly marks as noisy KOL with no profitable trader activity.",2026-05-12T14:31:53.714Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
